,T 01,T 02,T 03,T 04,T 05,T 06,T 07,T 08,T 09
28-jun-2021 22:07:00,5.31,5.11,5.23,5.00,6.40,5.37,5.88,5.75,5.39
28-jun-2021 22:08:00,5.33,5.09,5.21,4.98,6.54,6.01,6.19,6.19,5.38
28-jun-2021 22:09:00,5.34,5.10,5.23,5.01,6.93,6.48,6.52,6.55,5.43
28-jun-2021 22:10:00,5.37,5.15,5.26,5.08,7.24,6.85,6.80,6.84,5.55
28-jun-2021 22:11:00,5.47,5.25,5.33,5.14,7.54,7.17,7.09,7.14,5.67
28-jun-2021 22:12:00,6.49,6.29,6.38,6.16,7.59,6.65,7.09,6.95,6.55
28-jun-2021 22:13:00,5.62,5.29,5.80,5.49,7.14,5.93,6.58,6.35,6.09
28-jun-2021 22:14:00,5.20,4.50,5.32,4.75,6.76,5.30,6.15,5.83,5.71
28-jun-2021 22:15:00,4.78,3.89,4.94,4.21,6.34,4.78,5.71,5.40,5.34
28-jun-2021 22:16:00,4.34,3.43,4.53,3.78,5.94,4.28,5.31,4.94,4.93
28-jun-2021 22:17:00,3.88,3.01,4.11,3.40,5.53,3.88,4.90,4.54,4.50
28-jun-2021 22:18:00,3.48,2.66,3.75,3.02,5.16,3.51,4.53,4.18,4.13
28-jun-2021 22:19:00,3.11,2.28,3.34,2.65,4.83,3.14,4.17,3.81,3.73
28-jun-2021 22:20:00,2.74,1.94,2.99,2.30,4.48,2.76,3.78,3.47,3.39
28-jun-2021 22:21:00,2.70,1.95,2.84,2.22,4.31,2.69,3.67,3.33,3.23
28-jun-2021 22:22:00,2.89,2.36,2.87,2.49,4.46,3.41,4.07,3.84,3.28
28-jun-2021 22:23:00,2.95,2.51,2.88,2.53,5.04,4.34,4.52,4.45,3.43
28-jun-2021 22:24:00,3.12,2.76,2.99,2.69,5.49,4.88,4.92,4.93,3.62
28-jun-2021 22:25:00,3.29,2.97,3.13,2.86,5.83,5.28,5.27,5.35,3.78
28-jun-2021 22:26:00,4.54,4.26,4.36,4.06,6.06,4.95,5.42,5.27,4.66
28-jun-2021 22:27:00,5.31,5.14,5.21,4.98,6.40,5.40,5.88,5.75,5.38
28-jun-2021 22:28:00,5.58,5.39,5.49,5.29,6.49,5.91,6.25,6.17,5.57
28-jun-2021 22:29:00,5.55,5.35,5.45,5.22,6.90,6.45,6.54,6.55,5.59
28-jun-2021 22:30:00,5.56,5.37,5.46,5.27,7.21,6.84,6.81,6.89,5.69
28-jun-2021 22:31:00,5.63,5.44,5.50,5.32,7.47,7.14,7.06,7.17,5.80
28-jun-2021 22:32:00,6.36,6.14,6.21,5.98,7.55,6.63,7.03,6.88,6.43
28-jun-2021 22:33:00,5.75,5.52,5.94,5.68,7.18,6.04,6.66,6.48,6.21
28-jun-2021 22:34:00,5.27,4.62,5.38,4.84,6.83,5.38,6.24,5.91,5.75
28-jun-2021 22:35:00,4.92,3.99,5.05,4.30,6.44,4.87,5.83,5.47,5.40
28-jun-2021 22:36:00,4.55,3.53,4.70,3.89,6.10,4.38,5.42,5.04,5.08
28-jun-2021 22:37:00,4.17,3.16,4.33,3.53,5.73,4.00,5.06,4.70,4.67
28-jun-2021 22:38:00,3.75,2.81,3.95,3.18,5.39,3.64,4.72,4.33,4.31
28-jun-2021 22:39:00,3.38,2.46,3.59,2.83,4.99,3.33,4.36,3.99,3.97
28-jun-2021 22:40:00,3.00,2.16,3.23,2.53,4.73,2.99,4.04,3.67,3.59
28-jun-2021 22:41:00,2.65,1.83,2.88,2.20,4.35,2.62,3.67,3.32,3.22
28-jun-2021 22:42:00,2.95,2.27,3.01,2.44,4.45,2.88,3.80,3.52,3.32
28-jun-2021 22:43:00,2.95,2.48,2.92,2.55,4.71,3.91,4.32,4.20,3.38
28-jun-2021 22:44:00,3.08,2.69,3.00,2.65,5.29,4.65,4.76,4.78,3.56
28-jun-2021 22:45:00,3.26,2.93,3.12,2.82,5.68,5.12,5.13,5.20,3.73
28-jun-2021 22:46:00,3.44,3.11,3.27,3.02,6.03,5.52,5.47,5.59,3.92
28-jun-2021 22:47:00,5.04,4.83,4.90,4.65,6.26,5.20,5.70,5.54,5.10
28-jun-2021 22:48:00,5.62,5.47,5.53,5.32,6.62,5.67,6.13,6.03,5.68
28-jun-2021 22:49:00,5.64,5.41,5.50,5.31,6.69,6.21,6.37,6.37,5.64
28-jun-2021 22:50:00,5.63,5.41,5.50,5.31,7.00,6.61,6.64,6.71,5.71
28-jun-2021 22:51:00,5.63,5.44,5.53,5.35,7.23,6.90,6.85,6.98,5.81
28-jun-2021 22:52:00,5.73,5.54,5.59,5.44,7.51,7.22,7.09,7.28,5.95
28-jun-2021 22:53:00,6.65,6.49,6.56,6.36,7.72,6.82,7.23,7.14,6.71
28-jun-2021 22:54:00,5.43,5.02,5.58,5.20,7.04,5.70,6.44,6.17,5.97
28-jun-2021 22:55:00,5.09,4.26,5.22,4.56,6.69,5.16,6.07,5.69,5.62
28-jun-2021 22:56:00,4.68,3.72,4.84,4.06,6.26,4.65,5.62,5.25,5.23
28-jun-2021 22:57:00,4.29,3.32,4.48,3.67,5.89,4.18,5.21,4.85,4.84
28-jun-2021 22:58:00,3.92,2.94,4.11,3.34,5.56,3.82,4.85,4.48,4.49
28-jun-2021 22:59:00,3.54,2.63,3.75,3.01,5.21,3.49,4.52,4.15,4.10
28-jun-2021 23:00:00,3.14,2.29,3.38,2.66,4.85,3.12,4.14,3.81,3.75
28-jun-2021 23:01:00,2.76,1.95,2.99,2.33,4.53,2.80,3.81,3.48,3.40
28-jun-2021 23:02:00,2.78,2.01,2.88,2.26,4.35,2.76,3.69,3.39,3.23
28-jun-2021 23:03:00,2.91,2.42,2.88,2.54,4.41,3.50,4.07,3.84,3.33
28-jun-2021 23:04:00,2.99,2.56,2.92,2.58,5.04,4.34,4.53,4.45,3.47
28-jun-2021 23:05:00,3.13,2.78,3.01,2.72,5.48,4.88,4.92,4.94,3.63
28-jun-2021 23:06:00,3.31,3.00,3.17,2.91,5.85,5.30,5.27,5.37,3.82
28-jun-2021 23:07:00,4.54,4.26,4.36,4.09,6.04,4.97,5.42,5.25,4.64
28-jun-2021 23:08:00,5.30,5.12,5.19,4.98,6.38,5.38,5.85,5.79,5.37
28-jun-2021 23:09:00,5.56,5.37,5.50,5.28,6.52,5.89,6.25,6.14,5.57
28-jun-2021 23:10:00,5.53,5.32,5.43,5.23,6.91,6.47,6.53,6.54,5.59
28-jun-2021 23:11:00,5.55,5.34,5.44,5.25,7.19,6.84,6.81,6.87,5.69
28-jun-2021 23:12:00,5.61,5.43,5.49,5.31,7.49,7.13,7.08,7.17,5.80
28-jun-2021 23:13:00,6.32,6.13,6.19,5.96,7.54,6.62,7.02,6.88,6.41
28-jun-2021 23:14:00,6.43,6.23,6.54,6.30,7.56,6.57,7.09,6.95,6.65
28-jun-2021 23:15:00,5.47,5.00,5.61,5.18,6.96,5.66,6.44,6.17,5.96
28-jun-2021 23:16:00,5.12,4.27,5.25,4.57,6.59,5.13,6.06,5.69,5.63
28-jun-2021 23:17:00,4.71,3.73,4.85,4.07,6.24,4.60,5.62,5.20,5.22
28-jun-2021 23:18:00,4.34,3.30,4.50,3.69,5.89,4.19,5.23,4.87,4.88
28-jun-2021 23:19:00,3.88,2.94,4.10,3.33,5.53,3.79,4.84,4.47,4.42
28-jun-2021 23:20:00,3.45,2.59,3.68,2.97,5.13,3.45,4.44,4.11,4.03
28-jun-2021 23:21:00,3.09,2.30,3.35,2.66,4.88,3.11,4.13,3.79,3.69
28-jun-2021 23:22:00,2.75,1.96,3.00,2.32,4.49,2.79,3.78,3.45,3.37
28-jun-2021 23:23:00,2.83,2.11,2.94,2.34,4.40,2.77,3.75,3.43,3.27
28-jun-2021 23:24:00,2.93,2.42,2.95,2.54,4.52,3.57,4.16,3.96,3.39
28-jun-2021 23:25:00,3.02,2.60,2.96,2.60,5.04,4.36,4.57,4.51,3.51
28-jun-2021 23:26:00,3.18,2.86,3.08,2.77,5.45,4.88,4.92,4.95,3.68
28-jun-2021 23:27:00,3.35,3.05,3.21,2.95,5.79,5.32,5.24,5.30,3.84
28-jun-2021 23:28:00,4.69,4.43,4.53,4.22,6.07,5.03,5.50,5.31,4.81
28-jun-2021 23:29:00,5.40,5.22,5.29,5.08,6.45,5.49,5.95,5.85,5.45
28-jun-2021 23:30:00,5.58,5.41,5.51,5.30,6.58,6.00,6.31,6.23,5.60
28-jun-2021 23:31:00,5.55,5.37,5.46,5.25,6.92,6.50,6.55,6.57,5.62
28-jun-2021 23:32:00,5.59,5.40,5.49,5.30,7.21,6.86,6.82,6.86,5.73
28-jun-2021 23:33:00,5.65,5.47,5.54,5.37,7.48,7.17,7.06,7.15,5.84
28-jun-2021 23:34:00,6.41,6.22,6.31,6.08,7.57,6.65,7.07,6.94,6.50
28-jun-2021 23:35:00,5.91,5.69,6.11,5.83,7.30,6.17,6.80,6.59,6.35
28-jun-2021 23:36:00,5.36,4.74,5.46,4.97,6.90,5.50,6.28,5.98,5.82
28-jun-2021 23:37:00,4.99,4.09,5.12,4.41,6.50,4.99,5.91,5.54,5.51
28-jun-2021 23:38:00,4.60,3.60,4.76,3.97,6.13,4.51,5.49,5.13,5.10
28-jun-2021 23:39:00,4.23,3.19,4.38,3.58,5.73,4.07,5.12,4.72,4.72
28-jun-2021 23:40:00,3.86,2.86,4.04,3.24,5.41,3.70,4.78,4.38,4.37
28-jun-2021 23:41:00,3.44,2.52,3.66,2.91,5.08,3.38,4.41,4.08,4.02
28-jun-2021 23:42:00,3.04,2.20,3.28,2.58,4.77,3.06,4.09,3.73,3.64
28-jun-2021 23:43:00,2.68,1.86,2.94,2.26,4.45,2.70,3.72,3.36,3.28
28-jun-2021 23:44:00,2.93,2.24,3.01,2.42,4.41,2.84,3.79,3.51,3.30
28-jun-2021 23:45:00,2.95,2.47,2.90,2.54,4.68,3.86,4.29,4.16,3.38
28-jun-2021 23:46:00,3.08,2.69,2.97,2.63,5.27,4.60,4.71,4.70,3.54
28-jun-2021 23:47:00,3.24,2.91,3.11,2.81,5.66,5.09,5.09,5.17,3.72
28-jun-2021 23:48:00,3.43,3.11,3.26,3.01,6.00,5.49,5.42,5.57,3.91
28-jun-2021 23:49:00,4.97,4.74,4.82,4.53,6.22,5.14,5.63,5.50,5.05
28-jun-2021 23:50:00,5.61,5.43,5.50,5.29,6.59,5.65,6.12,6.01,5.66
28-jun-2021 23:51:00,5.63,5.44,5.53,5.31,6.72,6.20,6.41,6.38,5.66
28-jun-2021 23:52:00,5.62,5.43,5.50,5.30,7.05,6.66,6.70,6.72,5.71
28-jun-2021 23:53:00,5.67,5.48,5.55,5.38,7.31,7.00,6.96,7.03,5.85
28-jun-2021 23:54:00,5.75,5.56,5.60,5.44,7.55,7.26,7.14,7.30,5.96
28-jun-2021 23:55:00,6.63,6.45,6.53,6.30,7.66,6.77,7.19,7.08,6.69
28-jun-2021 23:56:00,5.53,5.20,5.68,5.37,7.06,5.82,6.53,6.30,6.08
28-jun-2021 23:57:00,5.18,4.40,5.30,4.68,6.69,5.26,6.12,5.80,5.69
28-jun-2021 23:58:00,4.77,3.80,4.93,4.15,6.30,4.72,5.69,5.33,5.30
28-jun-2021 23:59:00,4.34,3.37,4.53,3.74,5.96,4.23,5.27,4.89,4.88
29-jun-2021 00:00:00,3.95,3.02,4.18,3.41,5.57,3.86,4.92,4.53,4.51
29-jun-2021 00:01:00,3.55,2.69,3.78,3.07,5.23,3.54,4.57,4.21,4.13
29-jun-2021 00:02:00,3.23,2.35,3.45,2.75,4.91,3.24,4.23,3.85,3.80
29-jun-2021 00:03:00,2.88,2.03,3.10,2.42,4.58,2.87,3.92,3.55,3.47
29-jun-2021 00:04:00,2.70,1.87,2.84,2.20,4.30,2.67,3.67,3.32,3.24
29-jun-2021 00:05:00,2.92,2.35,2.94,2.50,4.39,3.28,3.99,3.71,3.35
29-jun-2021 00:06:00,2.97,2.51,2.92,2.55,4.94,4.23,4.45,4.39,3.47
29-jun-2021 00:07:00,3.12,2.74,3.00,2.70,5.41,4.81,4.86,4.84,3.62
29-jun-2021 00:08:00,3.29,2.96,3.14,2.86,5.80,5.25,5.22,5.28,3.79
29-jun-2021 00:09:00,4.31,3.98,4.09,3.76,5.97,4.95,5.34,5.12,4.47
29-jun-2021 00:10:00,5.17,4.97,5.07,4.82,6.28,5.28,5.78,5.65,5.24
29-jun-2021 00:11:00,5.52,5.37,5.45,5.24,6.39,5.75,6.11,6.05,5.52
29-jun-2021 00:12:00,5.47,5.29,5.38,5.16,6.78,6.34,6.44,6.45,5.52
29-jun-2021 00:13:00,5.49,5.29,5.39,5.20,7.10,6.73,6.72,6.76,5.62
29-jun-2021 00:14:00,5.54,5.35,5.44,5.25,7.40,7.07,7.01,7.06,5.74
29-jun-2021 00:15:00,6.14,5.91,5.99,5.73,7.46,6.54,6.90,6.76,6.26
29-jun-2021 00:16:00,6.80,6.65,6.74,6.53,7.73,6.88,7.30,7.20,6.86
29-jun-2021 00:17:00,5.54,5.16,5.68,5.33,7.03,5.80,6.51,6.26,6.05
29-jun-2021 00:18:00,5.18,4.38,5.30,4.66,6.68,5.18,6.10,5.77,5.67
29-jun-2021 00:19:00,4.78,3.78,4.94,4.12,6.24,4.68,5.67,5.29,5.30
29-jun-2021 00:20:00,4.38,3.34,4.55,3.72,5.88,4.23,5.27,4.88,4.89
29-jun-2021 00:21:00,3.96,2.97,4.17,3.37,5.53,3.84,4.89,4.51,4.48
29-jun-2021 00:22:00,3.54,2.63,3.79,3.01,5.20,3.44,4.52,4.15,4.14
29-jun-2021 00:23:00,3.15,2.28,3.38,2.66,4.81,3.12,4.14,3.80,3.74
29-jun-2021 00:24:00,2.76,1.92,3.01,2.32,4.47,2.78,3.78,3.45,3.37
29-jun-2021 00:25:00,2.82,2.08,2.94,2.31,4.39,2.75,3.72,3.41,3.28
29-jun-2021 00:26:00,2.94,2.45,2.95,2.51,4.52,3.59,4.20,3.99,3.35
29-jun-2021 00:27:00,3.07,2.64,2.97,2.61,5.15,4.45,4.63,4.62,3.51
29-jun-2021 00:28:00,3.20,2.88,3.08,2.77,5.54,5.01,5.00,5.04,3.69
29-jun-2021 00:29:00,3.38,3.09,3.24,2.97,5.92,5.43,5.36,5.51,3.87
29-jun-2021 00:30:00,4.78,4.53,4.61,4.31,6.15,5.06,5.57,5.37,4.88
29-jun-2021 00:31:00,5.49,5.30,5.37,5.15,6.51,5.54,6.03,5.88,5.55
29-jun-2021 00:32:00,5.68,5.48,5.57,5.36,6.64,6.03,6.37,6.34,5.68
29-jun-2021 00:33:00,5.64,5.44,5.54,5.33,7.01,6.61,6.67,6.71,5.71
29-jun-2021 00:34:00,5.66,5.45,5.55,5.35,7.30,6.96,6.94,6.98,5.80
29-jun-2021 00:35:00,5.72,5.53,5.59,5.42,7.54,7.23,7.18,7.26,5.92
29-jun-2021 00:36:00,6.49,6.30,6.37,6.15,7.61,6.72,7.12,7.01,6.55
29-jun-2021 00:37:00,5.72,5.48,5.91,5.65,7.18,6.02,6.66,6.46,6.19
29-jun-2021 00:38:00,5.28,4.66,5.40,4.90,6.79,5.41,6.24,5.93,5.78
29-jun-2021 00:39:00,4.88,4.01,5.03,4.33,6.46,4.88,5.85,5.47,5.41
29-jun-2021 00:40:00,4.46,3.49,4.64,3.85,6.03,4.38,5.40,5.00,4.99
29-jun-2021 00:41:00,4.04,3.10,4.26,3.48,5.66,3.96,4.99,4.62,4.64
29-jun-2021 00:42:00,3.68,2.75,3.90,3.15,5.36,3.61,4.64,4.30,4.29
29-jun-2021 00:43:00,3.30,2.46,3.54,2.84,5.00,3.28,4.31,3.95,3.89
29-jun-2021 00:44:00,2.94,2.11,3.18,2.50,4.67,2.96,4.00,3.63,3.55
29-jun-2021 00:45:00,2.62,1.82,2.84,2.19,4.31,2.66,3.69,3.32,3.21
29-jun-2021 00:46:00,2.97,2.30,3.01,2.51,4.44,3.02,3.89,3.60,3.32
29-jun-2021 00:47:00,2.96,2.48,2.91,2.53,4.84,4.10,4.41,4.32,3.43
29-jun-2021 00:48:00,3.10,2.71,3.00,2.68,5.33,4.71,4.81,4.82,3.61
29-jun-2021 00:49:00,3.28,2.94,3.13,2.84,5.72,5.18,5.15,5.21,3.77
29-jun-2021 00:50:00,4.03,3.67,3.76,3.47,5.94,5.05,5.35,5.20,4.31
29-jun-2021 00:51:00,5.08,4.87,4.98,4.73,6.25,5.22,5.73,5.56,5.14
29-jun-2021 00:52:00,5.55,5.38,5.49,5.30,6.49,5.71,6.08,6.00,5.58
29-jun-2021 00:53:00,5.49,5.30,5.41,5.20,6.76,6.28,6.40,6.41,5.54
29-jun-2021 00:54:00,5.52,5.32,5.43,5.23,7.10,6.72,6.71,6.73,5.63
29-jun-2021 00:55:00,5.56,5.36,5.44,5.27,7.37,7.03,6.96,7.02,5.74
29-jun-2021 00:56:00,5.95,5.70,5.81,5.57,7.48,6.65,6.93,6.81,6.11
29-jun-2021 00:57:00,6.74,6.58,6.64,6.45,7.70,6.86,7.28,7.17,6.80
29-jun-2021 00:58:00,5.63,5.33,5.79,5.50,7.15,5.92,6.59,6.38,6.14
29-jun-2021 00:59:00,5.28,4.53,5.40,4.80,6.79,5.33,6.20,5.88,5.80
29-jun-2021 01:00:00,4.90,3.93,5.04,4.26,6.38,4.79,5.81,5.40,5.39
29-jun-2021 01:01:00,4.46,3.48,4.63,3.84,6.02,4.36,5.37,4.99,4.99
29-jun-2021 01:02:00,4.02,3.10,4.23,3.47,5.66,3.96,4.97,4.62,4.54
29-jun-2021 01:03:00,3.64,2.72,3.86,3.11,5.31,3.61,4.61,4.25,4.23
29-jun-2021 01:04:00,3.28,2.39,3.49,2.77,4.94,3.27,4.27,3.92,3.89
29-jun-2021 01:05:00,2.89,2.04,3.13,2.44,4.60,2.90,3.93,3.58,3.48
29-jun-2021 01:06:00,2.66,1.87,2.85,2.19,4.35,2.65,3.65,3.31,3.20
29-jun-2021 01:07:00,2.90,2.33,2.92,2.49,4.36,3.28,3.98,3.80,3.31
29-jun-2021 01:08:00,2.97,2.49,2.90,2.53,5.01,4.24,4.48,4.41,3.45
29-jun-2021 01:09:00,3.12,2.75,3.01,2.69,5.48,4.84,4.90,4.92,3.62
29-jun-2021 01:10:00,3.31,2.98,3.15,2.87,5.82,5.27,5.24,5.32,3.79
29-jun-2021 01:11:00,4.39,4.08,4.16,3.85,6.03,4.99,5.43,5.20,4.58
29-jun-2021 01:12:00,5.25,5.06,5.13,4.89,6.31,5.35,5.84,5.74,5.32
29-jun-2021 01:13:00,5.62,5.42,5.54,5.34,6.51,5.82,6.21,6.16,5.65
29-jun-2021 01:14:00,5.56,5.37,5.49,5.25,6.88,6.42,6.52,6.53,5.62
29-jun-2021 01:15:00,5.59,5.39,5.49,5.29,7.20,6.82,6.82,6.84,5.72
29-jun-2021 01:16:00,5.64,5.45,5.52,5.35,7.44,7.10,7.05,7.11,5.83
29-jun-2021 01:17:00,6.22,5.99,6.08,5.84,7.52,6.60,6.97,6.83,6.32
29-jun-2021 01:18:00,6.38,6.16,6.48,6.22,7.51,6.52,7.04,6.89,6.64
29-jun-2021 01:19:00,5.43,4.93,5.55,5.12,6.90,5.64,6.39,6.13,5.94
29-jun-2021 01:20:00,5.04,4.20,5.17,4.49,6.55,5.08,5.99,5.64,5.56
29-jun-2021 01:21:00,4.61,3.63,4.80,4.00,6.15,4.55,5.55,5.17,5.18
29-jun-2021 01:22:00,4.19,3.23,4.42,3.59,5.79,4.11,5.16,4.74,4.77
29-jun-2021 01:23:00,3.74,2.85,3.97,3.22,5.39,3.71,4.75,4.37,4.33
29-jun-2021 01:24:00,3.39,2.53,3.62,2.90,5.07,3.37,4.40,4.03,4.01
29-jun-2021 01:25:00,3.07,2.22,3.29,2.60,4.80,3.04,4.10,3.78,3.67
29-jun-2021 01:26:00,2.71,1.88,2.96,2.25,4.50,2.74,3.76,3.42,3.32
29-jun-2021 01:27:00,2.86,2.15,2.96,2.34,4.37,2.80,3.75,3.42,3.27
29-jun-2021 01:28:00,2.91,2.43,2.90,2.50,4.56,3.69,4.25,4.05,3.34
29-jun-2021 01:29:00,3.03,2.63,2.93,2.58,5.16,4.48,4.64,4.61,3.50
29-jun-2021 01:30:00,3.20,2.86,3.08,2.78,5.57,4.97,5.00,5.04,3.70
29-jun-2021 01:31:00,3.39,3.07,3.24,2.97,5.91,5.43,5.33,5.42,3.88
29-jun-2021 01:32:00,4.79,4.55,4.66,4.38,6.14,5.05,5.53,5.37,4.87
29-jun-2021 01:33:00,5.42,5.27,5.33,5.12,6.45,5.51,5.98,5.85,5.50
29-jun-2021 01:34:00,5.51,5.34,5.42,5.20,6.56,6.05,6.28,6.24,5.53
29-jun-2021 01:35:00,5.49,5.30,5.39,5.20,6.94,6.51,6.57,6.59,5.58
29-jun-2021 01:36:00,5.53,5.34,5.42,5.25,7.23,6.89,6.84,6.88,5.68
29-jun-2021 01:37:00,5.60,5.42,5.48,5.32,7.50,7.19,7.07,7.17,5.80
29-jun-2021 01:38:00,6.48,6.30,6.38,6.17,7.62,6.69,7.08,6.97,6.58
29-jun-2021 01:39:00,5.96,5.72,6.15,5.92,7.38,6.23,6.82,6.64,6.38
29-jun-2021 01:40:00,5.40,4.82,5.52,5.03,6.91,5.56,6.35,6.07,5.89
29-jun-2021 01:41:00,5.02,4.11,5.17,4.43,6.51,5.00,5.94,5.57,5.51
29-jun-2021 01:42:00,4.62,3.63,4.78,3.98,6.21,4.51,5.51,5.15,5.11
29-jun-2021 01:43:00,4.20,3.20,4.38,3.59,5.80,4.06,5.12,4.74,4.74
29-jun-2021 01:44:00,3.80,2.85,4.01,3.23,5.42,3.71,4.75,4.37,4.33
29-jun-2021 01:45:00,3.42,2.49,3.64,2.87,5.05,3.34,4.42,3.99,3.99
29-jun-2021 01:46:00,3.04,2.16,3.28,2.54,4.73,3.02,4.08,3.70,3.65
29-jun-2021 01:47:00,2.65,1.84,2.89,2.21,4.39,2.70,3.73,3.34,3.26
29-jun-2021 01:48:00,2.89,2.19,2.97,2.38,4.43,2.82,3.75,3.46,3.31
29-jun-2021 01:49:00,2.90,2.39,2.87,2.49,4.65,3.85,4.28,4.12,3.36
29-jun-2021 01:50:00,3.01,2.62,2.93,2.59,5.24,4.55,4.67,4.66,3.51
29-jun-2021 01:51:00,3.21,2.87,3.08,2.76,5.65,5.02,5.07,5.13,3.71
29-jun-2021 01:52:00,3.37,3.06,3.22,2.95,5.98,5.45,5.41,5.53,3.88
29-jun-2021 01:53:00,4.88,4.65,4.75,4.49,6.17,5.09,5.59,5.43,4.97
29-jun-2021 01:54:00,5.51,5.36,5.42,5.20,6.53,5.58,6.05,5.92,5.59
29-jun-2021 01:55:00,5.56,5.35,5.49,5.26,6.65,6.17,6.36,6.31,5.57
29-jun-2021 01:56:00,5.56,5.35,5.45,5.25,7.01,6.64,6.64,6.68,5.63
29-jun-2021 01:57:00,5.59,5.38,5.48,5.29,7.34,6.96,6.95,7.03,5.75
29-jun-2021 01:58:00,5.66,5.47,5.53,5.35,7.61,7.31,7.21,7.30,5.87
29-jun-2021 01:59:00,6.60,6.44,6.50,6.30,7.65,6.75,7.15,7.04,6.67
29-jun-2021 02:00:00,5.70,5.40,5.87,5.57,7.17,6.00,6.63,6.44,6.20
29-jun-2021 02:01:00,5.31,4.61,5.43,4.84,6.81,5.41,6.24,5.94,5.76
29-jun-2021 02:02:00,4.89,3.94,5.05,4.26,6.43,4.83,5.81,5.46,5.40
29-jun-2021 02:03:00,4.46,3.46,4.64,3.84,6.04,4.40,5.37,5.05,5.00
29-jun-2021 02:04:00,4.08,3.08,4.27,3.46,5.69,3.95,4.98,4.63,4.62
29-jun-2021 02:05:00,3.69,2.73,3.90,3.12,5.33,3.59,4.63,4.27,4.27
29-jun-2021 02:06:00,3.30,2.41,3.52,2.78,4.99,3.25,4.30,3.93,3.91
29-jun-2021 02:07:00,2.88,2.06,3.14,2.45,4.61,2.91,3.93,3.58,3.52
29-jun-2021 02:08:00,2.64,1.85,2.84,2.18,4.37,2.64,3.64,3.34,3.23
29-jun-2021 02:09:00,2.92,2.33,2.99,2.49,4.40,3.22,3.94,3.72,3.31
29-jun-2021 02:10:00,2.97,2.51,2.92,2.54,4.95,4.24,4.46,4.40,3.45
29-jun-2021 02:11:00,3.12,2.74,3.02,2.69,5.46,4.86,4.91,4.93,3.61
29-jun-2021 02:12:00,3.31,2.99,3.17,2.87,5.85,5.29,5.28,5.40,3.80
29-jun-2021 02:13:00,4.30,3.98,4.04,3.74,6.07,5.06,5.42,5.16,4.49
29-jun-2021 02:14:00,5.23,5.04,5.12,4.90,6.36,5.34,5.83,5.69,5.30
29-jun-2021 02:15:00,5.63,5.48,5.56,5.36,6.57,5.81,6.21,6.13,5.67
29-jun-2021 02:16:00,5.61,5.40,5.50,5.29,6.90,6.46,6.55,6.57,5.66
29-jun-2021 02:17:00,5.61,5.41,5.49,5.30,7.23,6.84,6.85,6.88,5.74
29-jun-2021 02:18:00,5.68,5.49,5.55,5.37,7.49,7.18,7.11,7.16,5.87
29-jun-2021 02:19:00,6.17,5.93,6.02,5.79,7.60,6.68,7.00,6.88,6.30
29-jun-2021 02:20:00,6.20,5.95,6.33,6.06,7.43,6.36,6.98,6.74,6.53
29-jun-2021 02:21:00,5.37,4.84,5.48,5.04,6.89,5.57,6.32,6.07,5.84
29-jun-2021 02:22:00,4.99,4.11,5.12,4.42,6.51,5.05,5.96,5.60,5.52
29-jun-2021 02:23:00,4.58,3.60,4.75,3.97,6.20,4.53,5.51,5.16,5.13
29-jun-2021 02:24:00,4.10,3.16,4.32,3.55,5.77,4.08,5.10,4.75,4.69
29-jun-2021 02:25:00,3.71,2.79,3.94,3.21,5.42,3.69,4.69,4.37,4.27
29-jun-2021 02:26:00,3.29,2.46,3.53,2.85,5.03,3.35,4.36,4.02,3.92
29-jun-2021 02:27:00,2.99,2.17,3.21,2.54,4.74,3.01,4.04,3.68,3.60
29-jun-2021 02:28:00,2.67,1.87,2.90,2.26,4.40,2.68,3.70,3.37,3.28
29-jun-2021 02:29:00,2.89,2.20,2.98,2.40,4.43,2.80,3.76,3.49,3.30
29-jun-2021 02:30:00,2.88,2.41,2.89,2.51,4.64,3.81,4.24,4.12,3.35
29-jun-2021 02:31:00,3.01,2.61,2.93,2.60,5.22,4.54,4.67,4.66,3.52
29-jun-2021 02:32:00,3.19,2.85,3.07,2.77,5.58,5.03,5.01,5.08,3.70
29-jun-2021 02:33:00,3.39,3.06,3.22,2.98,5.92,5.45,5.35,5.43,3.90
29-jun-2021 02:34:00,4.84,4.61,4.71,4.46,6.12,5.08,5.56,5.39,4.93
29-jun-2021 02:35:00,5.48,5.31,5.39,5.19,6.50,5.56,6.03,5.89,5.53
29-jun-2021 02:36:00,5.52,5.30,5.45,5.21,6.62,6.09,6.28,6.29,5.55
29-jun-2021 02:37:00,5.52,5.29,5.40,5.19,6.90,6.51,6.52,6.56,5.58
29-jun-2021 02:38:00,5.53,5.33,5.43,5.25,7.16,6.82,6.75,6.86,5.69
29-jun-2021 02:39:00,5.61,5.41,5.49,5.33,7.39,7.07,6.99,7.07,5.82
29-jun-2021 02:40:00,6.42,6.26,6.33,6.14,7.51,6.64,7.02,6.89,6.49
29-jun-2021 02:41:00,6.02,5.80,6.22,5.97,7.38,6.29,6.86,6.69,6.43
29-jun-2021 02:42:00,5.33,4.71,5.47,4.99,6.87,5.52,6.32,6.01,5.87
29-jun-2021 02:43:00,4.93,4.02,5.09,4.35,6.48,4.93,5.88,5.49,5.48
29-jun-2021 02:44:00,4.47,3.51,4.69,3.88,6.07,4.43,5.42,5.03,5.05
29-jun-2021 02:45:00,4.04,3.11,4.26,3.50,5.67,3.98,4.99,4.65,4.60
